,county,case_id,state,areaname,median_family_income,total_cost,index
0,Abbeville,2346,SC,"Abbeville County, SC",53251.19921875,59187.7674,0.2945424851363236
1,Acadia Parish,1120,LA,"Acadia Parish, LA HUD Metro FMR Area",58169.6953125,66328.30692,0.27889427512245696
2,Accomack,2850,VA,"Accomack County, VA",59259.15625,65524.00956,0.2977744483515895
3,Ada,558,ID,"Boise City, ID HUD Metro FMR Area",87161.1015625,78164.8254,0.44300539953679513
4,Adair,796,IA,"Adair County, IA",58264.419921875,65487.30984,0.28765407434707607
5,Adams,245,CO,"Adams County, IA",66764.9140625,70403.38442,0.3280545462536985
6,Addison,2836,VT,"Addison County, VT",86721.6171875,84676.8552,0.3803199579159876
7,Aiken,2347,SC,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",64666.42578125,61225.61136,0.4024115481094362
8,Aitkin,1336,MN,"Aitkin County, MN",62395.0859375,64216.786080000005,0.3441228516839277
9,Alachua,327,FL,"Gainesville, FL MSA",77956.6328125,73451.1642,0.40595483986236036
10,Alamance,1918,NC,"Burlington, NC MSA",66801.1953125,68124.34296000001,0.3502885942422815
11,Alameda,187,CA,"Oakland-Fremont, CA HUD Metro FMR Area",122820.71875,117679.01916,0.39379139708882904
12,Alamosa,246,CO,"Alamosa County, CO",49323.58984375,67569.57863999999,0.17755279259100326
13,Albany,1856,NY,"Albany County, WY",89601.8671875,86727.92166,0.3865161838873904
14,Albemarle,2851,VA,"Charlottesville, VA HUD Metro FMR Area",105842.1484375,90203.19288,0.4831762899496722
15,Alcona,1253,MI,"Alcona County, MI",52728.54296875,66331.8564,0.22232234662030262
16,Alcorn,1424,MS,"Alcorn County, MS",54691.8359375,57904.4964,0.3254341665687492
17,Aleutians East Borough,68,AK,"Aleutians East Borough, AK",79776.171875,76653.77676000001,0.3917519864233082
18,Aleutians West Census Area,69,AK,"Aleutians West Census Area, AK",98061.890625,94057.24488000001,0.393022256494224
19,Alexander,603,IL,"Cape Girardeau, MO-IL MSA",54245.166015625,67546.6527,0.2279444331830925
20,Alexandria city,2945,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",133892.984375,101532.09323999999,0.5833610952195581
21,Alfalfa,2160,OK,"Alfalfa County, OK",75357.734375,74456.11692,0.3720223238248965
22,Alger,1254,MI,"Alger County, MI",60201.78515625,70661.83596,0.26164465733318576
23,Allamakee,798,IA,"Allamakee County, IA",70652.8203125,65182.802879999996,0.4215172962087626
24,Allegan,1255,MI,"Allegan County, MI",75065.09375,69633.00636,0.41744523090632496
25,Allegany,1204,MD,"Allegany County, NY",62233.873046875,65700.59670000001,0.3273065951571421
26,Alleghany,1920,NC,"Alleghany County, NC",52794.259765625,66520.37682,0.2214504969808162
27,Allegheny,2273,PA,"Pittsburgh, PA HUD Metro FMR Area",87770.0078125,72874.88364,0.504556047543332
28,Allen,705,IN,"Allen County, KS",63525.619140625,67095.29547,0.3270049762630815
29,Allen Parish,1121,LA,"Allen Parish, LA",58885.39453125,63845.0904,0.3101317244295879
30,Allendale,2348,SC,"Allendale County, SC",49944.8203125,55544.852040000005,0.2941844813340308
31,Alpena,1256,MI,"Alpena County, MI",57685.03515625,65175.66804,0.28445907223805644
32,Alpine,188,CA,"Alpine County, CA",97334.890625,85777.76411999999,0.45654228185001455
33,Amador,189,CA,"Amador County, CA",79965.1015625,87006.24396,0.30789604648251095
34,Amelia,2853,VA,"Richmond, VA MSA",84043.65625,75778.59564,0.4388525133217394
35,Amherst,2854,VA,"Lynchburg, VA MSA",72444.6328125,69236.0484,0.3956180142337869
36,Amite,1425,MS,"Amite County, MS",47401.37109375,60660.296160000005,0.21301937430961518
37,Anchorage Municipality,70,AK,"Anchorage, AK HUD Metro FMR Area",104803.0,90532.51272,0.47232288485847984
38,Anderson,896,KS,"Anderson County, KS",63514.11953125,64752.431088,0.35049451332962756
39,Andrew,1506,MO,"St. Joseph, MO-KS MSA",75624.7109375,75660.48564,0.3633498922711213
40,Andrews,2554,TX,"Andrews County, TX",86046.9921875,68704.05984,0.5376656777709482
41,Androscoggin,1184,ME,"Lewiston-Auburn, ME MSA",69864.21875,72406.11972,0.3394784800729508
42,Angelina,2555,TX,"Angelina County, TX",59067.140625,63306.170640000004,0.3175223323503703
43,Anne Arundel,1205,MD,"Baltimore-Columbia-Towson, MD MSA",119051.2421875,93507.38772,0.5519645452732568
44,Anoka,1337,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",97988.984375,91445.61348,0.41299573502188863
45,Anson,1921,NC,"Anson County, NC",52531.39453125,62237.103480000005,0.2561873588659002
46,Antelope,1678,NE,"Antelope County, NE",65682.984375,77819.78484000001,0.25617837545328614
47,Antrim,1257,MI,"Antrim County, MI",68512.9140625,68119.04964000001,0.36766110639273314
48,Apache,97,AZ,"Apache County, AZ",42365.81640625,72947.76624,0.07471625847667339
49,Appanoose,799,IA,"Appanoose County, IA",54523.4375,61348.80527999999,0.2869919646057466
50,Appling,394,GA,"Appling County, GA",51470.68359375,59779.96332,0.26787004232772466
51,Appomattox,2855,VA,"Lynchburg, VA MSA",70459.7734375,69342.12744,0.3747852063555131
52,Aransas,2556,TX,"Aransas County, TX HUD Metro FMR Area",59862.9296875,67452.85788,0.2861187663735662
53,Arapahoe,247,CO,"Denver-Aurora-Lakewood, CO MSA",96874.875,94585.88424,0.38035600933327435
54,Archer,2557,TX,"Wichita Falls, TX MSA",85916.5859375,65585.57304,0.5773413739852691
55,Archuleta,248,CO,"Archuleta County, CO",63746.38671875,72923.79504,0.2769327538891071
56,Arenac,1258,MI,"Arenac County, MI",54604.5546875,65153.9862,0.2520738101188711
57,Arkansas,112,AR,"Arkansas County, AR",58720.07421875,60470.91372,0.34371932968850655
58,Arlington,2856,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",165123.890625,111099.4872,0.6988432096908713
59,Armstrong,2274,PA,"Amarillo, TX HUD Metro FMR Area",74031.59375,70573.35756,0.3974509818058189
60,Aroostook,1185,ME,"Aroostook County, ME",57900.66796875,70706.391,0.23884282937941959
61,Arthur,1679,NE,"Arthur County, NE",69470.9453125,80615.24316,0.2683919235956653
62,Ascension Parish,1122,LA,"Baton Rouge, LA HUD Metro FMR Area",95380.84375,76990.89108,0.5283119187008737
63,Ashe,1922,NC,"Ashe County, NC",55303.82421875,67295.7882,0.24085093288660694
64,Ashland,2073,OH,"Ashland County, OH",63868.064453125,66726.50928,0.33414907274126904
65,Ashley,113,AR,"Ashley County, AR",57424.21875,60000.24588,0.33408332382164513
66,Ashtabula,2074,OH,"Ashtabula County, OH",59115.40234375,61441.96632000001,0.33757620288829426
67,Asotin,2984,WA,"Lewiston, ID-WA MSA",69590.0546875,69429.38363999999,0.36527086131186176
68,Assumption Parish,1123,LA,"Assumption Parish, LA",61636.26171875,66504.98496,0.31321608711831017
69,Atascosa,2559,TX,"Atascosa County, TX HUD Metro FMR Area",62603.53125,65127.51288000001,0.33696384926336836
70,Atchison,897,KS,"Atchison County, KS",64941.615234375,65953.68492,0.3530989746575124
71,Athens,2075,OH,"Athens County, OH",64532.9375,64828.2816,0.3605356669137325
72,Atkinson,395,GA,"Atkinson County, GA",47158.01171875,59798.43863999999,0.2179770695014166
73,Atlantic,1802,NJ,"Atlantic City-Hammonton, NJ MSA",80943.671875,88433.46228,0.3052994524194929
74,Atoka,2161,OK,"Atoka County, OK",48132.47265625,69977.16792,0.14850987449315695
75,Attala,1426,MS,"Attala County, MS",47172.38671875,60567.44004,0.21123925446999875
76,Audrain,1508,MO,"Audrain County, MO",55012.20703125,65362.256160000004,0.25453195494481845
77,Audubon,800,IA,"Audubon County, IA",63626.25,64803.457559999995,0.35115480543451316
78,Auglaize,2076,OH,"Auglaize County, OH",81172.65625,62889.55727999999,0.5640561485738731
79,Augusta,2857,VA,"Staunton-Waynesboro, VA MSA",75494.3046875,78003.5514,0.3415033897108806
80,Aurora,2392,SD,"Aurora County, SD",75728.421875,68946.7386,0.431472353741172
81,Austin,2560,TX,"Austin County, TX HUD Metro FMR Area",80292.6640625,70092.9126,0.4639754300984571
82,Autauga,1,AL,"Montgomery, AL MSA",73010.4140625,79873.46868,0.3044516559304506
83,Avery,1923,NC,"Avery County, NC",50981.9140625,69272.80416,0.18168227352779376
84,Avoyelles Parish,1124,LA,"Avoyelles Parish, LA",50716.9921875,64819.81668,0.21371347240331393
85,Baca,249,CO,"Baca County, CO",49474.53125,65544.6498,0.19468397267749202
86,Bacon,396,GA,"Bacon County, GA",46991.66796875,60081.712320000006,0.21350597097041754
87,Bailey,2561,TX,"Bailey County, TX",64194.08203125,62864.78016,0.3782505122526585
88,Baker,328,FL,"Albany, GA MSA",62591.891927083336,66622.10344,0.3219798963316023
89,Baldwin,2,AL,"Baldwin County, GA",71213.98046875,69095.72388,0.384806369213231
90,Ballard,1003,KY,"Ballard County, KY",58468.5,67890.98112,0.26801432660926255
91,Baltimore,1206,MD,"Baltimore-Columbia-Towson, MD MSA",97940.71875,79874.61624,0.5195734392676113
92,Baltimore city,1227,MD,"Baltimore-Columbia-Towson, MD MSA",64801.96484375,70955.47128,0.3039006529994811
93,Bamberg,2350,SC,"Bamberg County, SC",53411.3828125,57945.37752,0.3097438532513501
94,Bandera,2562,TX,"San Antonio-New Braunfels, TX HUD Metro FMR Area",69019.140625,71301.55656,0.34161203116464295
95,Banks,399,GA,"Banks County, GA",57068.9375,62087.569559999996,0.3079617690397572
96,Banner,1680,NE,"Banner County, NE",60807.61328125,80808.44159999999,0.19307733492729914
97,Bannock,560,ID,"Pocatello, ID MSA",66481.8515625,68346.89712000001,0.3448672822725218
98,Baraga,1259,MI,"Baraga County, MI",58696.45703125,71443.28304,0.24069862113131732
99,Barber,898,KS,"Barber County, KS",63826.48046875,66764.62091999999,0.3333431699622409
100,Barbour,3,AL,"Barbour County, AL",48199.728515625,70326.62226,0.14681325083451363
101,Barnes,2019,ND,"Barnes County, ND",88272.125,65126.99376,0.6086286360932089
102,Barnstable,1228,MA,"Barnstable Town, MA MSA",95838.8125,106175.31708,0.296574023981169
103,Barnwell,2351,SC,"Barnwell County, SC",52139.14453125,55049.871,0.3272315526374396
104,Barren,1004,KY,"Barren County, KY",49419.08203125,62145.26927999999,0.2225280026794161
105,Barron,3079,WI,"Barron County, WI",68349.6484375,73995.32316,0.3110867328979205
106,Barrow,400,GA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",72049.3046875,72591.60744,0.35852660305302614
107,Barry,1260,MI,"Barry County, MI HUD Metro FMR Area",66324.74609375,65525.29578,0.37208522298906727
108,Bartholomew,706,IN,"Columbus, IN MSA",79837.78125,75883.4868,0.3995932547254057
109,Barton,899,KS,"Barton County, KS",65373.392578125,63642.85272,0.38241779259683817
110,Bartow,401,GA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",67339.25,70937.06568,0.3287175577171432
111,Bastrop,2563,TX,"Austin-Round Rock, TX MSA",78419.734375,77830.21488,0.36889655797287074
112,Bates,1511,MO,"Bates County, MO HUD Metro FMR Area",64823.52734375,69834.62448,0.3142167345275477
113,Bath,1005,KY,"Bath County, KY",60776.80859375,64422.09534,0.3246743508403325
114,Baxter,114,AR,"Baxter County, AR",52002.578125,61902.9468,0.25343968053911575
115,Bay,329,FL,"Bay City, MI MSA",66065.986328125,69583.3074,0.32883478134847766
116,Bayfield,3080,WI,"Bayfield County, WI",68050.84375,72419.03615999999,0.3221007374425644
117,Baylor,2564,TX,"Baylor County, TX",59775.65234375,62721.07452,0.33130764367364574
118,Beadle,2393,SD,"Beadle County, SD",67270.453125,67465.23756000001,0.3616857742556202
119,Bear Lake,561,ID,"Bear Lake County, ID",68784.0,68051.42712,0.3710956869783234
120,Beaufort,1924,NC,"Beaufort County, NC",71356.1953125,73877.91780000001,0.34014879959729577
121,Beauregard Parish,1125,LA,"Beauregard Parish, LA",66995.265625,67239.95448,0.3611675481280886
122,Beaver,2162,OK,"Beaver County, OK",67884.15494791667,69672.50356,0.3459838909288806
123,Beaverhead,1621,MT,"Beaverhead County, MT",72938.53125,72005.04756,0.37261147803388805
124,Becker,1338,MN,"Becker County, MN",73830.84375,66040.57104,0.44498237873293645
125,Beckham,2163,OK,"Beckham County, OK",61798.5,72067.79676,0.26545955337923255
126,Bedford,2276,PA,"Bedford County, PA",66910.03776041667,67731.66836,0.3553145955132989
127,Bee,2565,TX,"Bee County, TX",51292.015625,65963.1288,0.21037455221326398
128,Belknap,1787,NH,"Belknap County, NH",87885.015625,72997.64207999999,0.5042459492127064
129,Bell,1006,KY,"Bell County, KY",49745.1015625,61645.26041999999,0.23061904175936312
130,Belmont,2077,OH,"Wheeling, WV-OH MSA",67819.8046875,63776.80176,0.40737013674652095
131,Beltrami,1339,MN,"Beltrami County, MN",64250.55859375,64581.105480000006,0.360147936147137
132,Ben Hill,402,GA,"Ben Hill County, GA",41122.328125,59738.313120000006,0.14888437831250206
133,Benewah,562,ID,"Benewah County, ID",54157.88671875,69587.32175999999,0.2108475035568873
134,Bennett,2394,SD,"Bennett County, SD",52074.45703125,72560.0712,0.16907924098736518
135,Bennington,2837,VT,"Bennington County, VT",76159.6875,76552.88796,0.36013552777572216
136,Benson,2020,ND,"Benson County, ND",56436.4140625,64986.16992,0.27299472770373656
137,Bent,250,CO,"Bent County, CO",41665.51953125,66202.14012,0.1082136372327176
138,Benton,115,AR,"Benton County, IA HUD Metro FMR Area",68877.09548611111,70858.15324,0.3444053775837218
139,Benzie,1262,MI,"Benzie County, MI",73104.8828125,68449.23419999999,0.4105566454224664
140,Bergen,1803,NJ,"Bergen-Passaic, NJ HUD Metro FMR Area",126280.09375,101852.33928,0.5289847592864967
141,Berkeley,2353,SC,"Charleston-North Charleston, SC MSA",74578.375,80210.50044,0.3152780713184796
142,Berks,2277,PA,"Reading, PA MSA",79812.109375,77582.50967999999,0.38348408469692297
143,Berkshire,1229,MA,"Pittsfield, MA HUD Metro FMR Area | Berkshire County, MA (part) HUD Metro FMR Area |  |",81352.34375,86527.3272,0.32245280243906094
144,Bernalillo,1823,NM,"Albuquerque, NM MSA",69691.7109375,67375.24092,0.38737371623834926
145,Berrien,403,GA,"Berrien County, GA",58880.259765625,65744.46534,0.29171185504015995
146,Bertie,1925,NC,"Bertie County, NC",52489.29296875,67165.6668,0.21306528119017432
147,Bethel Census Area,71,AK,"Bethel Census Area, AK",55433.203125,94170.87576,0.08014464876390856
148,Bexar,2567,TX,"San Antonio-New Braunfels, TX HUD Metro FMR Area",69862.1640625,66248.04288,0.40127801994307005
